Timestamp,Domain Name,IP Address,Original IP Address,DNS Requests,Attack Type,Geographical Information,Detection Flags,Security Measures,Resolution Time,Column1
05-01-2023 10:45,example.net,192.168.1.201,203.0.113.2,Requested: example.net, Type: AAAA Rec,DNS Spoofing,Location_Singapore,1,DNSSEC Implemented,2.5 hours
08-01-2023 14:00,learning-hub.com,203.0.113.28,104.20.7.7,Requested: learning-hub.com, Type: A,DNS Spoofing,Location_HongKong,1,No DNSSEC,2.8 hours
10-01-2023 16:30,bank-secure.com,172.31.15.35,104.18.6.6,Requested: bank-secure.com, Type: A Rec,DNS Cache Poisoning,Location_Madrid,0,No DNSSEC,N/A
15-01-2023 12:20,shopping-hub.com,203.0.113.12,104.20.4.4,Requested: shopping-hub.com, Type: A,DNS Spoofing,Location_Bangkok,1,DNSSEC Implemented,1.8 hours
18-01-2023 10:45,news-media.com,172.31.15.28,104.18.10.10,Requested: news-media.com, Type: A,DNS Cache Poisoning,Location_Copenhagen,1,DNSSEC Implemented,1.7 hours
20-01-2023 09:30,investment-app.com,192.168.1.202,198.51.100.2,Requested: investment-app.com, Type: A Rec,DNS Cache Poisoning,Location_Toronto,1,DNSSEC Implemented,3 hours
25-01-2023 11:15,social-media.com,172.31.15.36,104.18.8.8,Requested: social-media.com, Type: A,DNS Spoofing,Location_Auckland,1,No DNSSEC,2 hours
28-01-2023 15:30,insurance-now.com,192.168.1.204,203.0.113.25,Requested: insurance-now.com, Type: A,DNS Spoofing,Location_Lima,1,DNSSEC Implemented,2.5 hours
30-01-2023 18:45,gaming-central.com,203.0.113.22,104.20.6.6,Requested: gaming-central.com, Type: A,DNS Cache Poisoning,Location_Berlin,0,No DNSSEC,N/A
02-02-2023 09:30,finance-hub.com,192.168.1.301,203.0.113.3,Requested: finance-hub.com, Type: A Rec,DNS Cache Poisoning,Location_Dubai,0,No DNSSEC,N/A
08-02-2023 14:45,travel-now.com,172.31.15.42,104.18.11.11,Requested: travel-now.com, Type: A,DNS Spoofing,Location_MexicoCity,1,No DNSSEC,2.2 hours
14-02-2023 18:20,sports-site.com,203.0.113.18,104.20.8.8,Requested: sports-site.com, Type: A,DNS Cache Poisoning,Location_Rome,1,DNSSEC Implemented,1.5 hours
15-02-2023 14:00,weather-hub.com,192.168.1.304,203.0.113.22,Requested: weather-hub.com, Type: A,DNS Spoofing,Location_Paris,1,DNSSEC Implemented,2.7 hours
18-02-2023 11:10,entertainment-hub.com,192.168.1.302,198.51.100.3,Requested: entertainment-hub.com, Type: A Rec,DNS Spoofing,Location_BuenosAires,1,DNSSEC Implemented,2.9 hours
20-02-2023 18:45,tech-news.com,203.0.113.40,104.20.10.10,Requested: tech-news.com, Type: A,DNS Cache Poisoning,Location_London,0,No DNSSEC,N/A
22-02-2023 08:45,healthcare-now.com,172.31.15.43,104.18.12.12,Requested: healthcare-now.com, Type: A,DNS Cache Poisoning,Location_CapeTown,1,No DNSSEC,2.2 hours
24-02-2023 13:30,business-site.com,192.168.1.303,203.0.113.30,Requested: business-site.com, Type: A,DNS Cache Poisoning,Location_Tokyo,0,No DNSSEC,N/A
27-02-2023 16:30,job-search-hub.com,203.0.113.35,104.20.9.9,Requested: job-search-hub.com, Type: A,DNS Spoofing,Location_Sydney,1,DNSSEC Implemented,1.8 hours
